Название;Полное наименование;Лицензия НБУ;Дата регистрации;МФО;Код ЕГРПОУ;Адрес главного офиса;Вебсайт;Контакт-центр;Е-мейл;Статус;Акционеры банка;Капитал;Дополнительная информация
СЕБ корпоративный банк;"Публичное акционерное общество ""СЕБ КОРПОРАТИВНЫЙ БАНК""";259 от 06.07.2012;19.01.2011;380797;37515069;;;;;;;100% иностранный капитал;
Уникомбанк;;;;;;;;;;Ликвидация;;;
Евробанк;;;;;;;;;;Ликвидация;;;
Укргазпромбанк;;;;;;;;;;Ликвидация;;;
Банк Глобус;Публичное акционерное общество «Коммерческий банк «ГЛОБУС»;240 от 26.10.2011;29.11.2007;380526;35591059;;;;;;;Частный украинский;
Полтава-банк;Публичное акционерное общество “Полтава-банк”;73 от 20.10.2011;16.10.1991;331489;9807595;;;;;;;Частный украинский;
БГ Банк (Банк Первый);;;;;;;;;;Ликвидация;;;
Кредитпромбанк;;;;;;;;;;Ликвидация;;;
Банк Новый;Публичное акционерное общество «АКЦИОНЕРНЫЙ КОММЕРЧЕСКИЙ БАНК «НОВЫЙ»;112 от 01.11.2011;06.04.1992;305062;19361982;;;;;;;Частный украинский;
Банк Львов;Публичное акционерное общество Акционерный коммерческий Банк «Львов»;54 от 26.10.2011;14.10.1991;325268;9801546;;;;;;;Частный украинский;
Банк Стандарт;;;;;;;;;;Ликвидация;;;
Интеграл-банк;;;;;;;;;;Ликвидация;;;
Первый Инвестиционный Банк;Публичное акционерное общество «Первый Инвестиционный Банк» ;178 от 25.10.2011;20.06.1997;300506;26410155;;;;;;;Частный украинский;
Коминвестбанк;Публичное акционерное общество «КОММЕРЧЕСКИЙ ИНВЕСТИЦИОННЫЙ БАНК»;105 от 04.11.2011;16.12.1992;312248;19355562;;;;;;;Частный украинский;
Петрокоммерц-Украина;;;;;;;;;;Ликвидация;;;
Банк Грант;"Публичное акционерное общество ""ВОСТОЧНО-УКРАИНСКИЙ БАНК ""ГРАНТ""";6 от 03.11.2011;29.10.1991;351607;14070197;;;;;;;Частный украинский;
Классикбанк;;;;;;;;;;Ликвидация;;;
Расчетный центр;Публичное акционерное общество «Расчетный центр по обслуживанию договоров на финансовых рынках»;271 от 06.09.2013;06.09.2013;344443;35917889;;;;;;;Государственный;
Юнион Стандард Банк;;;;;;;;;;Ликвидация;;;
Европромбанк;Публичное Акционерное Общество «ЕВРОПРОМБАНК»;246 от 15.11.2011;13.08.2008;377090;36061927;;;;;;;Частный украинский;
Дойче банк ДБУ;"Публичное Акционерное Общество ""ДОЙЧЕ БАНК ДБУ""";254 от 18.11.2011;19.06.2009;380731;36520434;;;;;;;100% иностранный капитал;
Апекс-банк;Публичное Акционерное Общество «АПЕКС-БАНК»;255 от 18.11.2011;08.05.2009;380720;36482677;;;;;;;Частный украинский;
Софийский;;;;;;;;;;Ликвидация;;;
Банк Сич;"Публичное акционерное общество ""БАНК СИЧ""";260 от 22.11.2011;24.05.2011;380816;37716841;;;;;;;Частный украинский;
Омега банк (Сведбанк);;;;;;;;;;Ликвидация;;;
КристалБанк;"Публичное акционерное общество ""КристалБанк""";276 от 29.04.2015;16.12.2014;339050;39544699;;;;;;;Частный украинский;
Банк Контракт;;;;;;;;;;Ликвидация;;;
Юнисон;;;;;;;;;;Временная администрация;;;
Траст;;;;;;;;;;Ликвидация;;;
Банк Камбио;;;;;;;;;;Ликвидация;;;
Айбокс Банк (Агрокомбанк);"Публичное акционерное общество ""Айбокс Банк""";53 от 26.07.2016;24.12.1993;322302;21570492;;;;;;;Частный украинский;
Кредитвест Банк;Публичное акционерное общество «ВЕСТ ФАЙНЕНС ЕНД КРЕДИТ БАНК»;235 от 14.11.2011;04.10.2006;380441;34575675;;;;;;;100% иностранный капитал;
Вернум банк;"Публичное акционерное общество ""ВЕРНУМ БАНК""";251 от 16.08.2013;17.02.2009;380689;36301800;;;;;;;Частный украинский;
Окси банк;"Публичное акционерное общество ""Окси банк""";247 от 15.11.2011;14.10.1991;325990;9306278;;;;;;;Частный украинский;
МетаБанк;"Публичное акционерное общество ""МетаБанк""";69 от 28.10.2011;12.07.1993;313582;20496061;;;;;;;Частный украинский;
Банк Альянс;"Публичное акционерное общество ""БАНК АЛЬЯНС""";97 от 17.11.2011;10.03.1992;300119;14360506;;;;;;;Частный украинский;
Финансовый партнер;Публичное акционерное общество  «Коммерческий банк «ФИНАНСОВЫЙ ПАРТНЕР»;265 от 19.10.2012;19.10.2012;380872;38322199;;;;;;;Частный украинский;
